gate,key,value,verdict
PAIRING,configs_used,600.0,PASS
PAIRING,median_dgmst_bias_degC,3.9579499620856495e-5,PASS
CONTROL,glaciers_med_2100,0.0,PASS
CONTROL,glaciers_med_2150,0.0,PASS
CONTROL,glaciers_med_2300,0.0,PASS
CONTROL,gis_med_2100,0.0,PASS
CONTROL,gis_med_2150,0.0,PASS
CONTROL,gis_med_2300,0.0,PASS
CONTROL,ais_med_2100,1.8356973476211706,CHECK
CONTROL,ais_med_2150,1.6724437218652497,CHECK
CONTROL,ais_med_2300,-1.5602676697115214,CHECK
CONTROL,te_med_2100,0.0,PASS
CONTROL,te_med_2150,0.0,PASS
CONTROL,te_med_2300,0.0,PASS
CONTROL,lws_med_2100,0.0,PASS
CONTROL,lws_med_2150,0.0,PASS
CONTROL,lws_med_2300,0.0,PASS
CONTROL,total_med_2100,1.9542623349840653,CHECK
CONTROL,total_med_2150,1.6334741326138698,CHECK
CONTROL,total_med_2300,-1.5752319376890682,CHECK
OHC-OFFSET,max_cm,5.684341886080802e-14,CANCELS
CALIB-MOVE,glaciers_max_cm,0.0,measured
CALIB-MOVE,gis_max_cm,0.0,measured
CALIB-MOVE,ais_max_cm,5.4296641760757876,measured
CALIB-MOVE,te_max_cm,5.49231056542366,measured
CALIB-MOVE,lws_max_cm,0.0,measured
CALIB-MOVE,total_max_cm,5.89227227141113,measured
SUM,fixed_max_cm,1.7053025658242404e-13,PASS
SUM,joint_max_cm,2.2737367544323206e-13,PASS
